sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
1866,IyL7GafTLfY_000030,IMG_ONLY,SHRINK,0.6632254464285714,0.527961575255102,2.430691814017463,1,1,15706.0,14612.0
1866,IyL7GafTLfY_000030,OGL_RESCUE,SHRINK,0.6632254464285714,0.527961575255102,2.430691814017463,1,1,15706.0,14612.0
1867,IyV2j4BsEM8_000030,IMG_ONLY,SHRINK,0.36264349489795916,0.3215282206632653,8.8582826239429,1,1,8627.0,8695.0
1870,J-MC4VxOaJc_000511,IMG_ONLY,SHRINK,0.3771125637755102,0.30994897959183676,14.16662721167345,1,1,9833.0,9658.0
1870,J-MC4VxOaJc_000511,OGL_RESCUE,SHRINK,0.3771125637755102,0.30994897959183676,14.16662721167345,1,1,9833.0,9658.0
1878,J66wMnYRl7s_000306,OGL_RESCUE,SHRINK,0.4697265625,0.31204161352040816,23.270234065143807,1,2,23490.0,15483.0
1895,JIemsK_0lXc_000364,IMG_ONLY,SHRINK,0.5778061224489796,0.41001674107142855,18.503991499351454,1,1,10500.0,10500.0
1913,JXZuAd9Lgew_000020,OGL_RESCUE,SHRINK,0.6361407844387755,0.5134127869897959,5.9750061649060004,1,1,14894.0,12978.0
1932,Jogry7CVLzA_000007,IMG_ONLY,SHRINK,0.5029695471938775,0.42793367346938777,16.24916155585151,1,1,12341.0,12228.0
1948,K0Y8oGYR7lw_000010,OGL_RESCUE,MIXED,0.37501992984693877,0.39676339285714285,10.216446366465707,1,1,11433.0,11292.0
1950,K1ASf4xAexc_000030,OGL_RESCUE,SHRINK,0.5376076211734694,0.4414660395408163,8.667287500117247,1,1,11661.0,11191.0
1960,K5DXRUo2ujw_000020,IMG_ONLY,SHRINK,0.4487404336734694,0.35184151785714285,5.804814074216859,1,1,11115.0,10272.0
1960,K5DXRUo2ujw_000020,OGL_RESCUE,SHRINK,0.4487404336734694,0.35184151785714285,5.804814074216859,1,1,11115.0,10272.0
