dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,2rciuzaEEWo_000025,389,262,1415,91,2526
vggss,2ro_sQ7_vUM_000024,390,1039,2545,1254,32
vggss,2sKmbnOi5S0_000006,391,14341,0,0,0
vggss,2uHcWdkV4W4_000120,392,3902,17,2304,283
vggss,2uRe-e8RVEM_000190,393,145,606,419,269
vggss,2vYkvwD-fkc_000010,394,3362,0,0,1033
vggss,2vcA_vgImHQ_000020,395,1414,244,3,84
vggss,2vycuIKwnnA_000000,396,1941,0,0,5
vggss,2wGvpfAkly0_000030,397,1663,45,22,1250
vggss,2wsp3s4hIKs_000008,398,3265,0,231,450
vggss,2xBIHi3oqy4_000030,399,1180,0,0,1323
vggss,2xQuWif8axE_000030,400,384,106,193,2611
vggss,2zec0wuZgLE_000500,401,665,1574,0,4705
vggss,3-PFuDkTM48_000080,402,587,1068,27,2
vggss,3-qCp_EP-5Q_000234,403,2494,0,0,94
vggss,30jlal45IKo_000097,404,738,614,1079,1299
vggss,31GOxPXDNkk_000068,405,2148,199,0,64
vggss,31O2j4aAgYU_000030,406,1627,467,0,582
vggss,31uVf6wvCTA_000208,407,6,0,4139,2325
vggss,36ToDxW_hns_000090,408,2130,2468,0,0
vggss,387WVkfK-5w_000057,409,46,0,6,1246
vggss,38F6eeIR-s0_000030,410,4875,535,0,1474
vggss,39jhSrtRm70_000079,411,2345,2840,0,0
vggss,39rXWSXGOyo_000080,412,0,55,1477,463
vggss,3AcKnYk_cLY_000030,413,83,116,2867,1510
vggss,3AwevAQzwcs_000030,414,549,993,1539,37
vggss,3AzacBprTzU_000060,415,49,1392,294,2526
vggss,3ClbaJYWVO4_000030,416,432,762,0,0
vggss,3DK5YAQAVlI_000080,417,106,40,822,1145
vggss,3DTZsjKMOyA_000289,418,242,72,347,1684
vggss,3F9Qszr4j1Q_000030,419,1096,440,1271,62
vggss,3FE8b0QVvsM_000030,420,139,2394,13,0
vggss,3FNTvu5iROw_000076,421,162,1554,0,283
vggss,3GtKbvwaycY_000025,422,572,463,161,135
vggss,3GtKbvwaycY_000037,423,464,353,426,70
vggss,3GtvLj8K1F4_000140,424,544,0,35,757
vggss,3H3261x-QgI_000030,425,1685,0,12,1079
vggss,3HgbEKrbA9s_000054,426,3218,1279,0,0
vggss,3IwOig7sw6c_000030,427,715,0,0,399
vggss,3JYjNHFJfO4_000363,428,1844,10,76,229
vggss,3KQxT20mY-k_000030,429,498,3894,4020,734
vggss,3KbSLoAAzy0_000069,430,632,0,46,2247
vggss,3LLKsRSkAbE_000110,431,452,2742,250,0
vggss,3LNnX2Vq0XM_000000,432,942,10,476,276
vggss,3LiCT1BSrgQ_000150,433,2453,1614,5,593
vggss,3LtXT2KVI-c_000030,434,11,108,777,500
vggss,3LxtO_vMokk_000010,435,1244,0,0,1468
vggss,3MUeg3nD2OU_000120,436,923,3473,29,178
vggss,3NGZcpAZcl0_000030,437,237,659,1178,3919
vggss,3NvKtRbbOYU_000310,438,349,0,0,781
vggss,3O7CzEL0pXA_000421,439,123,340,554,10
vggss,3O7CzEL0pXA_000496,440,1331,3665,138,0
vggss,3OlQmVVOzbQ_000250,441,88,0,0,3567
vggss,3PD-JrOG1WA_000000,442,741,11,456,410
vggss,3Pfu7BPWvL8_000036,443,473,86,0,667
vggss,3QEd9nR_p7w_000018,444,6341,1746,0,0
vggss,3RSmQOcI9JI_000105,445,251,373,308,2307
vggss,3RfBwL7tXuk_000188,446,534,88,163,1790
vggss,3RfrTU1p5SA_000500,447,1670,1922,137,2477
vggss,3S-yoXKDvE4_000025,448,0,0,190,2903
vggss,3S3cX2QxOoA_000000,449,2,0,106,2551
vggss,3SyOlb_hSjg_000030,450,1143,242,1,3520
