scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,vggss,DUlxiX4ri1Q_000045,1386,OGL,0.46065200909780135,1.0,0.39431202168367346,0.16926920413970947,0.8727445602416992,0.7034753561019897,True,True,False,0.16590086909586088
144k,vggss,DXWEVucEPvU_000006,1390,AUD,0.9821289821289821,0.8252995014190674,0.5899433992346939,0.22907757759094238,0.75419020652771,0.5251126289367676,False,False,True,-0.10967183755617738
144k,vggss,DXWEVucEPvU_000006,1390,IMG_QUERY,0.9358517830417505,0.5147902369499207,0.3861806441326531,0.1592174470424652,0.6265392303466797,0.4673217833042145,False,False,True,-0.10967183755617738
144k,vggss,DXWEVucEPvU_000006,1390,IQR,0.9600186320937816,0.7020950317382812,0.5134327168367347,0.2021743655204773,0.7059574723243713,0.503783106803894,False,False,True,-0.10967183755617738
144k,vggss,DXWEVucEPvU_000006,1390,OGL,0.9870160621966139,0.7099869251251221,0.5050023915816326,0.296156644821167,0.7113256454467773,0.41516900062561035,False,False,True,-0.10967183755617738
144k,vggss,Daqv2F6SEmQ_000030,1397,AUD,0.47169723272201225,0.9817404747009277,0.4270766900510204,0.15786957740783691,0.8992122411727905,0.7413426637649536,True,True,False,0.13582558670879014
144k,vggss,Daqv2F6SEmQ_000030,1397,IMG_QUERY,0.6158217059157776,0.9473581910133362,0.3156688456632653,0.1800631880760193,0.8646829724311829,0.6846197843551636,True,True,False,0.13582558670879014
144k,vggss,Daqv2F6SEmQ_000030,1397,IQR,0.5435950301123108,0.9730963706970215,0.36732700892857145,0.16852277517318726,0.8919015526771545,0.7233787775039673,True,True,False,0.13582558670879014
144k,vggss,Daqv2F6SEmQ_000030,1397,OGL,0.6095960508097044,0.9834887385368347,0.3310546875,0.18501901626586914,0.859287440776825,0.6742684245109558,True,True,False,0.13582558670879014
144k,vggss,DcU6AzN7imA_000210,1403,AUD,0.5199822182707269,0.9559496641159058,0.4483219068877551,0.09678483009338379,0.8775726556777954,0.7807878255844116,True,True,False,0.13191134335056287
144k,vggss,DcU6AzN7imA_000210,1403,IMG_QUERY,0.5602637447881315,0.9444262981414795,0.4110730229591837,0.09956228733062744,0.8400406837463379,0.7404783964157104,True,True,False,0.13191134335056287
144k,vggss,DcU6AzN7imA_000210,1403,IQR,0.5341894060995185,0.9519450664520264,0.4345703125,0.09867870807647705,0.8662935495376587,0.7676148414611816,True,True,False,0.13191134335056287
