sample_id,sample_index,AddTP,AddFP,RemoveTP,RemoveFP,aud_gt_response,aud_nearfp_response,aud_area,ogl_gt_response,ogl_nearfp_response,ogl_area,ogl_minus_aud_gt_response,ogl_minus_aud_nearfp_response,ogl_minus_aud_area
CDIex7WRfFo_000025,1257,68,0,238,6155,0.7961532473564148,0.7460607290267944,0.5195511798469388,0.7728087902069092,0.6469693183898926,0.3934948979591837,-0.023344457149505615,-0.09909141063690186,-0.12605628188775508
CLtTzEgjeJk_000066,1266,2074,306,116,429,0.6722282767295837,0.8182951807975769,0.2881058673469387,0.7096152305603027,0.7805100679397583,0.3246771364795918,0.037386953830718994,-0.037785112857818604,0.03657126913265307
CMCtge02AnU_000260,1267,4968,591,0,54,0.4281150698661804,0.5966501235961914,0.1596380739795918,0.5827527046203613,0.6986995935440063,0.269351881377551,0.1546376347541809,0.10204946994781494,0.10971380739795922
CUt0oGFuxL8_000053,1283,992,83,53,2119,0.7280647158622742,0.6645440459251404,0.3244977678571428,0.7390743494033813,0.6204546093940735,0.3026347257653061,0.011009633541107178,-0.044089436531066895,-0.021863042091836704
CWxZNhucY8o_000573,1288,1539,2567,141,12431,0.6251807808876038,0.8947238922119141,0.4662587691326531,0.683746874332428,0.7421686053276062,0.2975326849489796,0.05856609344482422,-0.15255528688430786,-0.16872608418367346
Ce2fbtvF_TI_000136,1296,4587,185,339,101,0.6935147643089294,0.6601561307907104,0.4281529017857143,0.7503998279571533,0.6348272562026978,0.5144889987244898,0.05688506364822388,-0.025328874588012695,0.08633609693877553
CxSALNdzjKs_000125,1326,67,1,59,5727,0.7639708518981934,0.7612749934196472,0.3671875,0.7352613210678101,0.6679950952529907,0.2532286352040816,-0.0287095308303833,-0.0932798981666565,-0.11395886479591838
D1KdCkSFmnk_000000,1332,0,11,203,4794,0.869876503944397,0.7407248616218567,0.4794722576530612,0.8148455619812012,0.6583738923072815,0.3801020408163265,-0.0550309419631958,-0.0823509693145752,-0.09937021683673469
D4Jb8jIl-2A_000378,1342,3167,289,0,5970,0.7069698572158813,0.8153812885284424,0.5363919005102041,0.8064253330230713,0.7802870273590088,0.4862882653061224,0.09945547580718994,-0.035094261169433594,-0.05010363520408173
DDoJMpe85o0_000386,1356,0,0,958,13587,0.8179359436035156,0.7323026657104492,0.5578364158163265,0.7456746697425842,0.6541721820831299,0.2679567920918367,-0.0722612738609314,-0.07813048362731934,-0.2898796237244898
DUlxiX4ri1Q_000045,1386,0,0,0,11136,0.8705453872680664,0.7875816822052002,0.6162507971938775,0.8727445602416992,0.7034753561019897,0.3943120216836734,0.0021991729736328125,-0.08410632610321045,-0.22193877551020413
Daqv2F6SEmQ_000030,1397,85,143,67,4979,0.8992122411727905,0.7413426637649536,0.4270766900510204,0.859287440776825,0.6742684245109558,0.3310546875,-0.039924800395965576,-0.0670742392539978,-0.09602200255102039
DcU6AzN7imA_000210,1403,117,32,52,4680,0.8775726556777954,0.7807878255844116,0.4483219068877551,0.8415076732635498,0.6897901296615601,0.3569834183673469,-0.036064982414245605,-0.09099769592285156,-0.09133848852040816
DhiZ6pZ8LEc_000170,1408,0,3,500,6981,0.8847616910934448,0.7420841455459595,0.4418048469387755,0.8182381391525269,0.6609060764312744,0.2927694515306122,-0.06652355194091797,-0.08117806911468506,-0.1490353954081633
DjXyE3_g0b4_000156,1413,0,0,0,9580,0.9284842014312744,0.8237439393997192,0.4361447704081632,0.9323945045471193,0.7782292366027832,0.2452168367346938,0.003910303115844838,-0.045514702796936035,-0.19092793367346939
Do5DfkHBhtg_000400,1420,386,148,0,3735,0.8191211223602295,0.7827075123786926,0.313655931122449,0.8591490983963013,0.7681328058242798,0.2498604910714285,0.04002797603607178,-0.014574706554412842,-0.0637954400510205
DqQT03hOLA4_000240,1426,0,0,1676,11577,0.8074308633804321,0.7768217325210571,0.6765784438775511,0.7499499320983887,0.7020984888076782,0.4124481823979591,-0.05748093128204346,-0.0747232437133789,-0.26413026147959195
E3KhunKjg9s_000181,1444,0,236,0,4940,0.8976262807846069,0.796363353729248,0.3644172512755102,0.8788408637046814,0.738721489906311,0.2706672512755102,-0.018785417079925537,-0.05764186382293701,-0.09375
