sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
46,10468313544,0.3683793781780841,0.35405815004903146,0.3672206615763486,0.371574506440992,0.3686830536808866,0.36867392300357865,-0.002891452760105384,0.0003036755028025251,-9.130677307955803e-06,0.0,0.0,0.0,0.0,0.0
47,10476442285,0.6366344005956813,0.598075516547815,0.6859154364569962,0.7004715047150472,0.6561250185157754,0.6571725648928665,-0.04434648619927173,0.0194906179200941,0.0010475463770910354,0.0,0.0,0.0,0.0,0.0
48,10476446674,0.5080863743246397,0.6341018166828608,0.516838679683868,0.5506237070113271,0.5123642120203068,0.5127065381742663,-0.038259494991020326,0.0042778376956671416,0.0003423261539594602,0.0,0.0,0.0,0.0,0.0
49,10477544895,0.5281841474502025,0.5537754397151815,0.5906076716400847,0.5373510432857613,0.5658129280420302,0.5672441465256798,0.028461884756268874,0.037628780591827726,0.0014312184836495767,0.0,0.0,0.0,0.0,0.0
50,10481128583,0.591233834745124,0.553014553014553,0.5737677296817082,0.5835108649339582,0.5891768985902683,0.5886377427184466,0.005666033656310132,-0.002056936154855693,-0.0005391558718217393,0.0,0.0,0.0,0.0,0.0
51,10520382525,0.6438759547253152,0.6684557819203171,0.6400311441867202,0.6525292770568413,0.6385352337142547,0.6385352337142547,-0.013994043342586582,-0.005340721011060534,0.0,0.0,0.0,0.0,0.0,0.0
52,10545790805,0.7454914397828366,0.7104111067798135,0.7759163194149162,0.7541678480294868,0.7582545235882578,0.7584985642007384,0.004086675558771069,0.012763083805421238,0.00024404061248051168,0.0,0.0,0.0,0.0,0.0
53,10548273474,0.4482448891603492,0.5161791245226004,0.4844519103054926,0.4765367832810227,0.4608434850224016,0.4603209821758746,-0.015693298258621147,0.012598595862052364,-0.0005225028465269954,0.0,0.0,0.0,0.0,0.0
54,10549911663,0.46937953770462926,0.4599560863945684,0.4499634963828234,0.449372959099399,0.45954379306392246,0.4598342182665495,0.010170833964523451,-0.0098357446407068,0.00029042520262706484,0.0,0.0,0.0,0.0,0.0
55,10555704135,0.4367856159985322,0.4481935195791027,0.44262505736576413,0.44054453316379005,0.43887797624511227,0.4388457514180296,-0.0016665569186777862,0.0020923602465800495,-3.222482708264973e-05,0.0,0.0,0.0,0.0,0.0
56,10557361454,0.17610825397446175,0.11650315784218278,0.15211274050010296,0.15651447079719988,0.16511519899844518,0.1661136916611369,0.0086007282012453,-0.010993054976016575,0.0009984926626917245,0.0,0.0,0.0,0.0,0.0
57,10610974774,0.9201374222072034,0.7640954240110237,0.897742439301434,0.8986086060293739,0.9203007732544917,0.9197588785578208,0.021692167225117798,0.00016335104728826266,-0.0005418946966708749,0.0,0.0,0.0,0.0,0.0
58,10624261424,0.669889502762431,0.6793185249083459,0.6286237412267318,0.7024643774818967,0.6561757087606004,0.6535186886172543,-0.04628866872129633,-0.013713794001830593,-0.0026570201433461227,0.0,0.0,0.0,0.0,0.0
59,10635080206,0.6272164719593751,0.658604069975009,0.6038298665672357,0.6315087344829523,0.622925368212794,0.6231547406328174,-0.008583366270158321,-0.004291103746581149,0.0002293724200234104,0.0,0.0,0.0,0.0,0.0
60,10654057765,0.7152313338134925,0.5543909244437918,0.6482293065667633,0.6448395797842135,0.7004609904309562,0.701497748140907,0.05562141064674275,-0.014770343382536244,0.0010367577099508196,0.0,0.0,0.0,0.0,0.0
61,10659354545,0.6323100430615364,0.1167962564696429,0.5571055710557106,0.5251606871567138,0.6019206585114897,0.6027133999862728,0.07675997135477586,-0.030389384550046694,0.0007927414747831429,0.0,0.0,0.0,0.0,0.0
62,10666396623,0.6722150048717116,0.715047393364929,0.6704675279022762,0.6981059799957438,0.6794790208306818,0.6795865633074936,-0.018626959165061963,0.007264015958970194,0.00010754247681177276,0.0,0.0,0.0,0.0,0.0
